"Artikel";"Nazov";"Match_code";"Pozicia";"Cena";"Kvalita";"Mnozstvo";"Dodavatel_id"
"1101001415";"Apple iPhone 14 Plus - Lepka pod batériu Adhesive";"IP14P-BAT-LEP";"1-B-4";"1.90";"aftermarket";"10";"4002"
"1101001422";"Apple iPhone 14 Pro - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP14PR-DISP";"1-B-5";"179.90";"aftermarket";"5";"4001"
"1101001423";"Apple iPhone 14 Pro - Lepka pod LCD Adhesive";"IP14PR-LEPKA";"1-B-6";"2.50";"aftermarket";"20";"4001"
"1101001432";"Apple iPhone 14 Pro Max - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP14PM-DISP";"1-B-7";"189.90";"aftermarket";"5";"4001"
"1101001433";"Apple iPhone 14 Pro Max - Lepka pod LCD Adhesive";"IP14PM-LEPKA";"1-B-8";"2.50";"aftermarket";"20";"4001"
"1101001502";"Apple iPhone 15 - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP15-DISP";"1-A-1";"149.90";"aftermarket";"5";"4001"
"1101001503";"Apple iPhone 15 - Lepka pod LCD Adhesive";"IP15-LEPKA";"1-A-2";"2.50";"aftermarket";"20";"4001"
"1101001512";"Apple iPhone 15 Plus - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP15P-DISP";"1-A-3";"169.90";"aftermarket";"5";"4001"
"1101001513";"Apple iPhone 15 Plus - Lepka pod LCD Adhesive";"IP15P-LEPKA";"1-A-4";"2.50";"aftermarket";"20";"4001"
"1101001514";"Apple iPhone 15 Plus - Batéria A3092 4383mAh";"IP15P-BAT";"1-A-5";"69.90";"original";"5";"4003"
"1101001515";"Apple iPhone 15 Plus - Lepka pod batériu Adhesive";"IP15P-BAT-LEP";"1-A-6";"1.90";"aftermarket";"10";"4002"
"1101001524";"Apple iPhone 15 Pro - Batéria A3086 3274mAh";"IP15PR-BAT";"1-A-7";"59.90";"original";"5";"4003"
"1101001525";"Apple iPhone 15 Pro - Lepka pod batériu Adhesive";"IP15PR-BAT-LEP";"1-A-8";"1.90";"aftermarket";"10";"4002"
"1101001532";"Apple iPhone 15 Pro Max - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP15PM-DISP";"1-A-9";"199.90";"aftermarket";"4";"4001"
"1101001533";"Apple iPhone 15 Pro Max - Lepka pod LCD Adhesive";"IP15PM-LEPKA";"1-A-10";"2.50";"aftermarket";"20";"4001"
"1102002202";"Samsung Galaxy S22 - LCD Service Pack";"S22-DISP";"1-D-1";"179.90";"original";"3";"4003"
"1102002203";"Samsung Galaxy S22 - Lepka pod LCD Adhesive";"S22-LEPKA";"1-D-2";"2.50";"aftermarket";"10";"4002"
"1102002212";"Samsung Galaxy S22+ - LCD Service Pack";"S22P-DISP";"1-D-3";"189.90";"original";"3";"4003"
"1102002213";"Samsung Galaxy S22+ - Lepka pod LCD Adhesive";"S22P-LEPKA";"1-D-4";"2.50";"aftermarket";"10";"4002"
"1102002214";"Samsung Galaxy S22+ - Batéria EB-BS906ABY";"S22P-BAT";"1-D-5";"59.90";"original";"4";"4003"
"1102002215";"Samsung Galaxy S22+ - Lepka pod batériu Adhesive";"S22P-BAT-LEP";"1-D-6";"1.90";"aftermarket";"10";"4002"
"1102002222";"Samsung Galaxy S22 Ultra - LCD Service Pack";"S22U-DISP";"1-D-7";"199.90";"original";"3";"4003"
"1102002223";"Samsung Galaxy S22 Ultra - Lepka pod LCD Adhesive";"S22U-LEPKA";"1-D-8";"2.50";"aftermarket";"10";"4002"
"1102002226";"Samsung Galaxy S22 Ultra - Batéria EB-BS908ABY";"S22U-BAT";"1-D-9";"69.90";"original";"4";"4003"
"1102002302";"Samsung Galaxy S23 - LCD Service Pack";"S23-DISP";"1-E-1";"189.90";"original";"3";"4003"
"1102002303";"Samsung Galaxy S23 - Lepka pod LCD Adhesive";"S23-LEPKA";"1-E-2";"2.50";"aftermarket";"10";"4002"
"1102002304";"Samsung Galaxy S23+ - LCD Service Pack";"S23P-DISP";"1-E-3";"199.90";"original";"3";"4003"
"1102002305";"Samsung Galaxy S23+ - Lepka pod LCD Adhesive";"S23P-LEPKA";"1-E-4";"2.50";"aftermarket";"10";"4002"
"1102002306";"Samsung Galaxy S23 - Nabíjací konektor PCB doska";"S23-PCB";"1-E-5";"23.90";"original";"5";"4003"
"1102002312";"Samsung Galaxy S23+ - Batéria EB-BS916ABY";"S23P-BAT";"1-E-6";"59.90";"original";"4";"4003"
"1102002313";"Samsung Galaxy S23+ - Lepka pod batériu Adhesive";"S23P-BAT-LEP";"1-E-7";"1.90";"aftermarket";"10";"4002"
"1102002314";"Samsung Galaxy S23 Ultra - Batéria EB-BS918ABY";"S23U-BAT";"1-E-8";"69.90";"original";"3";"4003"
"1102002315";"Samsung Galaxy S23 Ultra - Lepka pod batériu Adhesive";"S23U-BAT-LEP";"1-E-9";"1.90";"aftermarket";"10";"4002"
"1102002316";"Samsung Galaxy S23 Ultra - LCD Service Pack";"S23U-DISP";"1-E-10";"219.90";"original";"3";"4003"
"1103002001";"Apple iPad 2020 - LCD Displej + Dotykové Sklo";"IPD2020-DISP";"1-F-1";"129.90";"aftermarket";"4";"4001"
"1103002003";"Apple iPad 2020 - Lepka pod LCD";"IPD2020-LEPKA";"1-F-2";"2.50";"aftermarket";"15";"4001"
"1103002101";"Apple iPad 2021 - LCD Displej + Dotykové Sklo";"IPD2021-DISP";"1-F-3";"139.90";"aftermarket";"4";"4001"
"1103002103";"Apple iPad 2021 - Lepka pod LCD";"IPD2021-LEPKA";"1-F-4";"2.50";"aftermarket";"15";"4001"
"1103002104";"Apple iPad 2021 - Batéria A2609";"IPD2021-BAT";"1-F-5";"79.90";"original";"4";"4003"
"1103002105";"Apple iPad 2021 - Lepka pod batériu";"IPD2021-BAT-LEP";"1-F-6";"1.90";"aftermarket";"10";"4002"
"1103002202";"Apple iPad 2022 - LCD Displej + Dotykové Sklo";"IPD2022-DISP";"1-F-7";"149.90";"aftermarket";"3";"4001"
"1103002203";"Apple iPad 2022 - Lepka pod LCD";"IPD2022-LEPKA";"1-F-8";"2.50";"aftermarket";"15";"4001"
"1103002204";"Apple iPad 2022 - Batéria A2759";"IPD2022-BAT";"1-F-9";"79.90";"original";"3";"4003"
"1103002205";"Apple iPad 2022 - Lepka pod batériu";"IPD2022-BAT-LEP";"1-F-10";"1.90";"aftermarket";"10";"4002"
"1103002701";"Apple iPad Mini 6 - LCD Displej + Dotykové Sklo";"IPDM6-DISP";"1-F-11";"189.90";"aftermarket";"3";"4001"
"1103002702";"Apple iPad Mini 6 - Lepka pod LCD";"IPDM6-LEPKA";"1-F-12";"2.50";"aftermarket";"15";"4001"
"1106001302";"MacBook Air 13 M2 - Batéria A3113";"MBA13M2-BAT";"1-G-1";"169.90";"original";"3";"4003"
"1106001303";"MacBook Air 13 M2 - Lepka pod batériu";"MBA13M2-BAT-LEP";"1-G-2";"2.50";"aftermarket";"10";"4002"
"1106001401";"MacBook Pro 14 M1 - LCD Displej";"MBP14-DISP";"1-G-3";"349.90";"original";"2";"4003"
"1106001402";"MacBook Pro 14 M1 - Batéria A2527";"MBP14-BAT";"1-G-4";"189.90";"original";"3";"4003"
"1106001403";"MacBook Pro 14 M1 - Lepka pod batériu";"MBP14-BAT-LEP";"1-G-5";"2.50";"aftermarket";"10";"4002"
"1106001602";"MacBook Pro 16 M1 - Batéria A2780";"MBP16-BAT";"1-G-6";"199.90";"original";"3";"4003"
"1106001603";"MacBook Pro 16 M1 - Lepka pod batériu";"MBP16-BAT-LEP";"1-G-7";"2.50";"aftermarket";"10";"4002"
"1106001604";"MacBook Pro 16 M1 - LCD Displej";"MBP16-DISP";"1-G-8";"399.90";"original";"2";"4003"
"1107001001";"ASUS TUF FX506 - Ventilátor CPU + GPU set";"ASTUF-FAN";"1-H-1";"49.90";"original";"2";"4003"
"1107001002";"ASUS TUF FX506 - Pasta teplovodivá + čistenie sada";"ASTUF-REP";"1-H-2";"19.90";"aftermarket";"10";"4002"
