"Protokol_id";"Zakaznik_id";"Technik_id";"Zariadenie_id";"Praca_id";"Datum_prijatia";"Datum_odovzdania";"Stav_zariadenia";"Popis_prijmu";"Popis_vystupu";"Cena";"pouzite_diely_id"
"1232";"2033";"3002";"ip14pr";"9092";"2025-07-15";"2025-07-17";"prasknutý panel";"Výmena displeja.";"Displej vymenený.";"279.86";"7032"
"1233";"2034";"3002";"sg23p";"9093";"2025-07-21";"2025-07-22";"rozbitý panel";"Výmena displeja.";"Displej vymenený.";"265.86";"7033"
"1234";"2035";"3002";"ip21";"9094";"2025-07-27";"2025-07-29";"batéria slabá";"Výmena batérie.";"Batéria vymenená.";"111.86";"7034"
"1235";"2036";"3001";"ip14pm";"9095";"2025-08-03";"2025-08-05";"prasknutý panel";"Výmena displeja.";"Displej vymenený.";"279.86";"7035"
"1236";"2037";"3001";"ip13";"9096";"2025-08-09";"2025-08-10";"výdrž zlá";"Výmena batérie.";"Batéria + lepka.";"97.86";"7036"
"1237";"2038";"3002";"sg23u";"9097";"2025-08-15";"2025-08-17";"nenabíja";"Výmena PCB.";"PCB vymenený.";"104.86";"7037"
"1238";"2039";"3002";"ip15p";"9098";"2025-08-21";"2025-08-22";"výdrž slabá";"Výmena batérie.";"Batéria vymenená.";"97.86";"7038"
"1239";"2040";"3003";"mba13m2";"9099";"2025-08-27";"2025-08-29";"slabá výdrž";"Výmena batérie.";"Batéria nová.";"251.86";"7039"
"1240";"2041";"3001";"ip13pr";"9100";"2025-09-03";"2025-09-05";"prasknutý panel";"Výmena displeja.";"Displej + lepka.";"279.86";"7040"
"1241";"2042";"3001";"ip15";"9101";"2025-09-09";"2025-09-10";"zlá výdrž";"Výmena batérie.";"Batéria + lepka.";"97.86";"7041"
"1242";"2043";"3002";"sg22p";"9102";"2025-09-15";"2025-09-17";"prasknutý displej";"Výmena displeja.";"Displej vymenený.";"251.86";"7042"
"1243";"2044";"3002";"ipmn6";"9103";"2025-09-21";"2025-09-22";"poškodený LCD";"Výmena displeja.";"LCD vymenený, test dotyku/obrazu OK.";"363.86";"7043"
"1244";"2045";"3003";"astuf";"9104";"2025-09-27";"2025-09-29";"zvýšené teploty";"Požiadavka na prepastovanie.";"Chladenie vyčistené, teplovodivá pasta nanesená.";"125.86";"7044"
"1245";"2046";"3001";"ip14";"9105";"2025-10-03";"2025-10-05";"prasknutý displej";"Výmena displeja.";"Displej + lepka, test OK.";"279.86";"7045"
"1246";"2047";"3001";"ip13";"9106";"2025-10-09";"2025-10-10";"slabá výdrž batérie";"Výmena batérie.";"Batéria vymenená, test nabíjania OK.";"97.86";"7046"
"1247";"2048";"3002";"ip15p";"9107";"2025-10-15";"2025-10-17";"rozbitý displej";"Zákazník žiada výmenu displeja.";"Displej vymenený + lepenie, test OK.";"279.86";"7047"
"1248";"2049";"3002";"sg23u";"9108";"2025-10-21";"2025-10-22";"nenabíja";"Výmena nabíjacieho modulu/PCB.";"PCB vymenené, port OK.";"104.86";"7048"
"1249";"2050";"3003";"mbp16";"9109";"2025-10-27";"2025-10-29";"nízka výdrž";"Výmena batérie.";"Batéria nová, test cyklov OK.";"251.86";"7049"
"1250";"2051";"3001";"ip15";"9110";"2025-11-03";"2025-11-05";"rozbitý displej";"Výmena displeja.";"Vymenený displej, test bez závad.";"279.86";"7050"
"1251";"2052";"3001";"ip15p";"9111";"2025-11-09";"2025-11-10";"slabá výdrž";"Výmena batérie.";"Nová batéria + lepka.";"97.86";"7051"
"1252";"2053";"3002";"sg23";"9112";"2025-11-15";"2025-11-17";"rozbitý panel";"Výmena displeja.";"Vymenený displej, test OK.";"265.86";"7052"
"1253";"2001";"3002";"ip21";"9113";"2025-11-21";"2025-11-22";"nereaguje dotyk";"Výmena LCD.";"Vymenený LCD + lepenie.";"363.86";"7053"
"1254";"2002";"3003";"mbp14";"9114";"2025-11-27";"2025-11-29";"poškodený panel";"Výmena displeja.";"Displej vymenený, test napájania OK.";"489.86";"7054"
"1255";"2003";"3001";"ip14pr";"9115";"2025-12-03";"2025-12-05";"rozbitý displej";"Žiadosť o výmenu displeja.";"Vymenený displej, test OK.";"279.86";"7055"
"1256";"2004";"3001";"ip13";"9116";"2025-12-09";"2025-12-10";"slabá výdrž";"Výmena batérie.";"Batéria vymenená, test nabíjania OK.";"97.86";"7056"
"1257";"2005";"3002";"ip15pm";"9117";"2025-12-15";"2025-12-17";"rozbitý displej";"Výmena displeja.";"Displej vymenený, tesnenia OK.";"307.86";"7057"
"1258";"2006";"3002";"sg22u";"9118";"2025-12-21";"2025-12-22";"nenabíja";"Výmena PCB.";"PCB vymenené, test OK.";"104.86";"7058"
"1259";"2007";"3002";"ip22";"9119";"2025-12-27";"2025-12-29";"rýchle vybíjanie";"Výmena batérie.";"Batéria + lepka, test v poriadku.";"111.86";"7059"
"1300";"2004";"3001";"ip13";"9000";"2024-01-03";"2024-01-05";"používaný, prasknutý displej po páde";"Zákazník žiada výmenu displeja na iPhone 13.";"Vymenený displej + lepka, výstupný test obrazu a dotyku bez závad.";"251.86";"8000"
"1301";"2005";"3001";"ip13";"9001";"2024-01-09";"2024-01-10";"slabá výdrž batérie, telefón sa vypína pri 20 %";"Výmena batérie za novú originálnu.";"Vymenená batéria, lepenie obnovené, kalibračný cyklus v poriadku.";"83.86";"8001"
"1302";"2006";"3002";"sg22";"9002";"2024-01-14";"2024-01-16";"po páde prasknutý displej, čierne fľaky v obraze";"Zákazník súhlasí s výmenou LCD modulu.";"Vymenený LCD Service Pack + lepka, test bez závad.";"237.86";"8002"
"1303";"2007";"3002";"ip14";"9003";"2024-01-20";"2024-01-22";"rozbitý displej, nefunkčný dotyk v hornej časti";"Výmena displeja v aftermarket kvalite.";"Vymenený displej + lepenie, dotyk aj obraz v poriadku.";"265.86";"8003"
"1304";"2008";"3003";"ipd20";"9004";"2024-01-27";"2024-01-29";"tablet s rozbitým sklom a nefunkčným dotykom";"Výmena komplet LCD + dotyk na iPad 2020.";"Vymenený LCD modul + nová lepka, test OK.";"209.86";"8004"
"1305";"2009";"3001";"ip13pr";"9005";"2024-02-03";"2024-02-05";"prasknutý displej po páde z výšky";"Zákazník požaduje výmenu displeja.";"Displej vymenený, tesnenia obnovené, test bez závad.";"265.86";"8005"
"1306";"2010";"3001";"ip14p";"9006";"2024-02-09";"2024-02-10";"výdrž batérie výrazne znížená, mobil sa vypína";"Výmena batérie za novú originálnu.";"Batéria vymenená, nalepená nová lepka, test nabíjania v poriadku.";"83.86";"8006"
"1307";"2011";"3002";"sg22p";"9007";"2024-02-14";"2024-02-16";"poškodený displej, obraz s pruhmi";"Schválená výmena displeja.";"Vymenený displej Service Pack + lepka, test OK.";"251.86";"8007"
"1308";"2012";"3002";"sg22";"9008";"2024-02-20";"2024-02-21";"telefon nenabíja, port má vôľu";"Diagnostika ukázala chybný nabíjací modul/PCB.";"Vymenený PCB modul, vyčistené okolie, nabíjanie funkčné.";"97.86";"8008"
"1309";"2013";"3003";"mba13m2";"9009";"2024-02-26";"2024-02-28";"MacBook Air s nízkou výdržou batérie";"Zákazník požaduje výmenu batérie.";"Vymenená batéria + lepka, test cyklov a nabíjania v poriadku.";"237.86";"8009"
"1310";"2014";"3001";"ip13pm";"9010";"2024-03-04";"2024-03-06";"silne prasknutý displej, nefunkčný dotyk";"Výmena displeja iPhone 13 Pro Max.";"Vymenený displej + lepenie, test jasu a farieb OK.";"279.86";"8010"
"1311";"2015";"3001";"ip13";"9011";"2024-03-09";"2024-03-10";"výrazne znížená kapacita batérie";"Výmena batérie za originálnu.";"Batéria vymenená, lepka obnovená, kalibrácia OK.";"83.86";"8011"
"1312";"2016";"3002";"sg22u";"9012";"2024-03-14";"2024-03-16";"rozbitý displej, nečitateľný obraz";"Schválená výmena LCD Service Pack.";"Vymenený displej + lepka, dotyk/jas OK.";"265.86";"8012"
"1313";"2017";"3002";"ipd21";"9013";"2024-03-21";"2024-03-23";"prasknutý panel tabletu, nefunkčný dotyk";"Výmena komplet LCD na iPad 2021.";"LCD modul vymenený, nalepená nová lepka, test OK.";"223.86";"8013"
"1314";"2018";"3003";"astuf";"9014";"2024-03-27";"2024-03-29";"herný notebook sa prehrieva a hučí ventilátor";"Zákazník žiada prepastovanie a čistenie.";"Prepastované, vyčistené chladenie, teploty po teste nižšie.";"111.86";"8014"
"1315";"2019";"3001";"ip14";"9015";"2024-04-03";"2024-04-05";"prasknutý displej v rohu, škvrny v obraze";"Výmena displeja na iPhone 14.";"Vymenený displej + lepka, výstupný test bez závad.";"265.86";"8015"
"1316";"2020";"3001";"ip14pr";"9016";"2024-04-09";"2024-04-11";"po páde nefunguje dotyk, prasknuté sklo";"Zákazník súhlasí s výmenou displeja.";"Vymenený displej, tesnenia obnovené, test OK.";"279.86";"8016"
"1317";"2021";"3002";"sg22";"9017";"2024-04-15";"2024-04-17";"pruhy v obraze po náraze";"Výmena displeja za originálny Service Pack.";"Nový displej + lepka, obraz bez chýb.";"237.86";"8017"
"1318";"2022";"3002";"ipd22";"9018";"2024-04-21";"2024-04-23";"prasknutý displej iPad 2022";"Výmena komplet LCD/dotyk.";"Vymenený LCD modul, nalepená nová lepka, test OK.";"237.86";"8018"
"1319";"2023";"3003";"mbp14";"9019";"2024-04-27";"2024-04-29";"MacBook Pro s nízkou výdržou batérie";"Výmena batérie za novú originálnu.";"Batéria vymenená, lepka obnovená, test cyklov v norme.";"251.86";"8019"
"1320";"2024";"3001";"ip13";"9020";"2024-05-03";"2024-05-05";"prasknuté sklo, dotyk (zatiaľ) funguje";"Zákazník súhlasí s výmenou displeja.";"Vymenený displej + lepka, test dotyku/obrazu v poriadku.";"251.86";"8020"
"1321";"2025";"3001";"ip13pm";"9021";"2024-05-09";"2024-05-10";"slabá výdrž, batéria na 75 % health";"Výmena batérie iPhone 13 Pro Max.";"Vymenená batéria + lepka, kalibrácia OK.";"83.86";"8021"
"1322";"2026";"3002";"sg22p";"9022";"2024-05-14";"2024-05-16";"rýchle vybíjanie, mobil sa vypína pri 15 %";"Výmena batérie za originál.";"Batéria vymenená, nalepená nová lepka, test OK.";"83.86";"8022"
"1323";"2027";"3002";"sg23";"9023";"2024-05-21";"2024-05-23";"prasknutý displej po páde na zem";"Výmena LCD Service Pack.";"Vymenený displej + lepenie, test bez závad.";"251.86";"8023"
"1324";"2028";"3002";"ipmn6";"9024";"2024-05-27";"2024-05-29";"tablet s rozbitým sklom, nefunkčný dotyk";"Výmena komplet LCD iPad mini 6.";"LCD vymenený + lepka, test dotyku/obrazu OK.";"265.86";"8024"
"1325";"2029";"3001";"ip13pr";"9025";"2024-06-03";"2024-06-05";"prasknutý displej po páde z vrecka";"Výmena displeja na iPhone 13 Pro.";"Displej vymenený, tesnenia obnovené, test OK.";"265.86";"8025"
"1326";"2030";"3001";"ip13";"9026";"2024-06-09";"2024-06-10";"rýchle vybíjanie, batéria staršia ako 3 roky";"Výmena batérie.";"Batéria vymenená, kalibračný cyklus OK.";"83.86";"8026"
"1327";"2031";"3002";"sg23p";"9027";"2024-06-14";"2024-06-16";"prasknutý displej, nefunguje dotyk v strede";"Výmena displeja za originálny.";"Vymenený displej + lepka, test dotyku OK.";"265.86";"8027"
"1328";"2032";"3002";"sg23";"9028";"2024-06-20";"2024-06-21";"nenabíja, port je uvoľnený";"Výmena nabíjacieho PCB modulu.";"PCB vymenený, port vyčistený, nabíjanie funkčné.";"97.86";"8028"
"1329";"2033";"3003";"ipd21";"9029";"2024-06-27";"2024-06-29";"tablet s nízkou výdržou batérie";"Výmena batérie na iPad 2021.";"Batéria a lepka vymenené, test nabíjania v poriadku.";"111.86";"8029"
"1330";"2034";"3001";"ip14";"9030";"2024-07-03";"2024-07-05";"poškodený displej, nefunkčný dotyk";"Výmena displeja.";"Vymenený displej + lepka, test OK.";"265.86";"8030"
"1331";"2035";"3001";"ip14p";"9031";"2024-07-09";"2024-07-10";"zlý stav batérie, telefón sa vypína pri 25 %";"Výmena batérie.";"Batéria vymenená, lepenie obnovené, test nabíjania OK.";"83.86";"8031"
"1332";"2036";"3002";"sg22u";"9032";"2024-07-14";"2024-07-16";"prasknutý displej, artefakty v obraze";"Výmena displeja.";"Displej vymenený + lepka, test OK.";"265.86";"8032"
"1333";"2037";"3002";"ipd22";"9033";"2024-07-21";"2024-07-23";"tablet sa rýchlo vybíja";"Výmena batérie na iPad 2022.";"Batéria vymenená, lepka obnovená, test OK.";"111.86";"8033"
"1334";"2038";"3003";"mbp16";"9034";"2024-07-27";"2024-07-29";"MacBook Pro 16 s nízkou výdržou batérie";"Výmena batérie za originálnu.";"Batéria vymenená + lepka, test napájania v poriadku.";"265.86";"8034"
"1335";"2039";"3001";"ip13";"9035";"2024-08-03";"2024-08-05";"prasknuté sklo po páde";"Zákazník žiada výmenu displeja.";"Displej vymenený + lepenie, test OK.";"251.86";"8035"
"1336";"2040";"3001";"ip15pr";"9036";"2024-08-09";"2024-08-10";"novší iPhone s výrazne slabou výdržou";"Výmena batérie v iPhone 15 Pro.";"Batéria vymenená, lepka nalepená, test nabíjania OK.";"97.86";"8036"
"1337";"2041";"3002";"sg22p";"9037";"2024-08-14";"2024-08-16";"prasknutý displej, nefunkčný dotyk";"Schválená výmena displeja.";"Nový displej + lepka, test OK.";"251.86";"8037"
"1338";"2042";"3002";"sg23";"9038";"2024-08-21";"2024-08-22";"rozbitý panel po páde z vrecka";"Výmena displeja.";"Vymenený displej + lepenie, obraz a dotyk v poriadku.";"251.86";"8038"
"1339";"2043";"3003";"astuf";"9039";"2024-08-27";"2024-08-29";"notebook sa prehrieva pri hrách";"Prepastovanie a čistenie chladenia.";"Chladenie vyčistené, teploty po záťažovom teste nižšie.";"111.86";"8039"
"1340";"2044";"3001";"ip13pr";"9040";"2024-09-03";"2024-09-05";"prasknutý displej, dotyk nefunguje v rohu";"Výmena displeja iPhone 13 Pro.";"Displej vymenený, tesnenia obnovené, test OK.";"265.86";"8040"
"1341";"2045";"3001";"ip13";"9041";"2024-09-09";"2024-09-10";"batéria na konci životnosti";"Výmena batérie.";"Batéria vymenená, kalibrácia OK.";"83.86";"8041"
"1342";"2046";"3002";"sg22";"9042";"2024-09-14";"2024-09-16";"pruhy v obraze po náraze";"Výmena displeja.";"LCD Service Pack vymenený + lepka, obraz čistý.";"237.86";"8042"
"1343";"2047";"3002";"ipd20";"9043";"2024-09-21";"2024-09-23";"tablet s rozbitým sklom";"Výmena komplet LCD.";"Vymenený LCD modul + lepka, test OK.";"209.86";"8043"
"1344";"2048";"3003";"mba13m2";"9044";"2024-09-27";"2024-09-29";"výrazne slabá výdrž batérie";"Výmena batérie.";"Batéria vymenená + lepka, test cyklov OK.";"237.86";"8044"
"1345";"2049";"3001";"ip14";"9045";"2024-10-03";"2024-10-05";"poškodený displej po páde";"Výmena displeja.";"Displej vymenený + lepenie, test OK.";"265.86";"8045"
"1346";"2050";"3001";"ip14p";"9046";"2024-10-09";"2024-10-10";"slabá výdrž batérie";"Výmena batérie.";"Batéria vymenená, lepka obnovená, test v poriadku.";"83.86";"8046"
"1347";"2051";"3002";"sg22p";"9047";"2024-10-14";"2024-10-16";"vysoký počet cyklov, rýchle vybíjanie";"Výmena batérie.";"Batéria vymenená, nalepená nová lepka, test OK.";"83.86";"8047"
"1348";"2052";"3002";"sg23p";"9048";"2024-10-21";"2024-10-22";"slabá výdrž batérie";"Výmena batérie S23+.";"Batéria a lepka vymenené, test nabíjania v poriadku.";"83.86";"8048"
"1349";"2053";"3002";"ipmn6";"9049";"2024-10-27";"2024-10-29";"prasknutý displej iPad mini 6";"Výmena komplet LCD.";"LCD vymenený + lepka, test OK.";"265.86";"8049"
"1350";"2054";"3001";"ip13pm";"9050";"2024-11-03";"2024-11-05";"rozbitý displej po páde z výšky";"Výmena displeja.";"Displej vymenený, tesnenia obnovené, test bez závad.";"279.86";"8050"
"1351";"2055";"3001";"ip13";"9051";"2024-11-09";"2024-11-10";"slabá výdrž, batéria na 70 % health";"Výmena batérie.";"Batéria vymenená, lepka obnovená, kalibrácia OK.";"83.86";"8051"
"1352";"2056";"3002";"sg22u";"9052";"2024-11-14";"2024-11-16";"výrazne znížená kapacita batérie";"Výmena batérie S22 Ultra.";"Batéria vymenená, test nabíjania OK.";"97.86";"8052"
"1353";"2057";"3002";"sg23p";"9053";"2024-11-21";"2024-11-23";"poškodený displej po náraze";"Výmena displeja.";"Displej vymenený + lepka, obraz bez závad.";"265.86";"8053"
"1354";"2058";"3003";"mbp14";"9054";"2024-11-27";"2024-11-29";"MacBook Pro s nízkou výdržou batérie";"Výmena batérie.";"Batéria vymenená + lepka, test cyklov OK.";"251.86";"8054"
"1355";"2059";"3001";"ip14";"9055";"2024-12-03";"2024-12-05";"prasknutý displej po páde na zem";"Výmena displeja.";"Displej vymenený, lepenie obnovené, test OK.";"265.86";"8055"
"1356";"2060";"3001";"ip13pm";"9056";"2024-12-09";"2024-12-10";"slabá výdrž batérie";"Výmena batérie.";"Batéria vymenená + lepka, kalibrácia OK.";"83.86";"8056"
"1357";"2001";"3002";"sg23";"9057";"2024-12-14";"2024-12-16";"prasknutý displej, čiary v obraze";"Výmena displeja.";"Displej vymenený + lepka, test OK.";"251.86";"8057"
"1358";"2002";"3002";"sg23u";"9058";"2024-12-20";"2024-12-22";"slabá výdrž batérie";"Výmena batérie S23 Ultra.";"Batéria vymenená + lepka, test v poriadku.";"97.86";"8058"
"1359";"2003";"3003";"mbp16";"9059";"2024-12-27";"2024-12-29";"poškodený displej po páde notebooku";"Výmena LCD panela MacBook Pro 16.";"Displej vymenený, test obrazu a podsvietenia bez závad.";"531.86";"8059"
"1400";"2001";"3001";"ip15";"9200";"2023-01-05";"2023-01-07";"používaný, prasknutý displej, viditeľné škrabance";"Zákazník žiada výmenu displeja v kvalite FixPremium.";"Oprava vykonaná výmenou displeja. Test OK.";"159.00";"8200"
"1401";"2002";"3002";"ip14p";"9201";"2023-01-10";"2023-01-10";"používaný, slabá batéria, rýchlo sa vybíja";"Výmena batérie v kvalite ORIGINAL.";"Batéria úspešne vymenená. Test OK.";"79.00";"8201"
"1402";"2003";"3003";"sg23";"9202";"2023-01-12";"2023-01-14";"nefunkčné nabíjanie, port má vôľu";"Výmena nabíjacej PCB dosky.";"Oprava hotová, zariadenie nabíja správne.";"89.00";"8202"
"1403";"2001";"3001";"ip15pr";"9203";"2023-01-18";"2023-01-19";"používaný, prasknutý displej v rohu";"Zákazník žiada výmenu displeja soft-OLED.";"Displej vymenený, FaceID funguje.";"169.00";"8203"
"1404";"2002";"3002";"ip13";"9204";"2023-01-22";"2023-01-23";"používaný, veľmi slabá batéria";"Výmena batérie FIxPremium.";"Oprava úspešná, test OK.";"69.00";"8204"
"1405";"2003";"3003";"sg22u";"9205";"2023-02-04";"2023-02-05";"nefunkčný mikrofón, poškodený konektor";"Výmena PCB modulu.";"Mikrofón funguje, nabíjanie OK.";"99.00";"8205"
"1406";"2001";"3001";"ip14pr";"9206";"2023-02-08";"2023-02-08";"používaný, poškodené sklo displeja";"Výmena displeja FP.";"Úspešne opravené.";"159.00";"8206"
"1407";"2002";"3002";"ip15pm";"9207";"2023-02-11";"2023-02-13";"slabá batéria, zariadenie sa vypína";"Výmena batérie ORIGINAL.";"Batéria funguje správne.";"99.00";"8207"
"1408";"2003";"3003";"sg23u";"9208";"2023-02-17";"2023-02-18";"nefunkčné nabíjanie, port sa kýve";"Výmena PCB dosky ULTRA.";"Nabíjanie obnovené.";"109.00";"8208"
"1409";"2001";"3001";"ip15";"9209";"2023-02-23";"2023-02-24";"prasknutý displej po páde";"Výmena displeja Soft OLED.";"Hotovo, všetko funkčné.";"149.00";"8209"
"1410";"2002";"3002";"ip13pm";"9210";"2023-03-03";"2023-03-04";"používaný, slabá batéria";"Výmena batérie FP.";"Bateria funguje.";"69.00";"8210"
"1411";"2003";"3003";"sg22";"9211";"2023-03-06";"2023-03-07";"nefunkčné nabíjanie";"Výmena PCB modulu.";"Test OK.";"89.00";"8211"
"1412";"2001";"3001";"ip14pr";"9212";"2023-03-11";"2023-03-12";"prasknutý displej";"Výmena displeja FP.";"Opravené.";"169.00";"8212"
"1413";"2002";"3002";"ip15p";"9213";"2023-03-14";"2023-03-15";"slabá batéria";"Výmena batérie FP.";"Batéria drží.";"79.00";"8213"
"1414";"2003";"3003";"sg23";"9214";"2023-03-23";"2023-03-24";"nefunkčné nabíjanie";"Výmena PCB.";"OK.";"89.00";"8214"
"1415";"2001";"3001";"ip15";"9215";"2023-04-02";"2023-04-03";"používaný, rozbitý displej";"Výmena displeja.";"Všetko funkčné.";"159.00";"8215"
"1416";"2002";"3002";"ip14p";"9216";"2023-04-06";"2023-04-06";"slabá batéria";"Výmena batérie.";"OK.";"79.00";"8216"
"1417";"2003";"3003";"sg23u";"9217";"2023-04-09";"2023-04-10";"nenabíja";"Výmena PCB.";"OK.";"109.00";"8217"
"1418";"2001";"3001";"ip13";"9218";"2023-04-17";"2023-04-18";"prasknutý displej";"Výmena displeja.";"OK.";"139.00";"8218"
"1419";"2002";"3002";"ip15pm";"9219";"2023-04-22";"2023-04-24";"veľmi slabá batéria";"Výmena batérie.";"Hotovo.";"99.00";"8219"
"1420";"2003";"3003";"sg22";"9220";"2023-05-03";"2023-05-04";"nefunkčné nabíjanie, port uvoľnený";"Výmena nabíjacej PCB dosky.";"Oprava úspešná, nabíjanie funguje.";"89.00";"8220"
"1421";"2001";"3001";"ip14pr";"9221";"2023-05-06";"2023-05-07";"používaný, puknuté sklo displeja";"Zákazník žiada výmenu displeja.";"Displej vymenený, FaceID funkčné.";"169.00";"8221"
"1422";"2002";"3002";"ip15p";"9222";"2023-05-12";"2023-05-13";"slabá batéria, zariadenie sa rýchlo vybíja";"Výmena batérie FP.";"Výdrž batérie obnovená.";"79.00";"8222"
"1423";"2003";"3003";"sg23u";"9223";"2023-05-16";"2023-05-17";"nenabíja, zariadenie sa prehrieva";"Výmena PCB ULTRA modelu.";"Test bez závad.";"109.00";"8223"
"1424";"2001";"3001";"ip15";"9224";"2023-05-22";"2023-05-23";"prasknutý displej po páde";"Výmena displeja Soft OLED.";"Oprava úspešná.";"149.00";"8224"
"1425";"2002";"3002";"ip13pm";"9225";"2023-06-02";"2023-06-03";"používaný, slabá batéria";"Výmena batérie FP.";"OK.";"69.00";"8225"
