"pouzite_diely_id";"Artikel";"Mnozstvo"
"8001";"1101001305";"1"
"8002";"1102002202";"1"
"8002";"1102002203";"1"
"8003";"1101001402";"1"
"8003";"1101001403";"1"
"8004";"1103002001";"1"
"8004";"1103002003";"1"
"8005";"1101001322";"1"
"8005";"1101001323";"1"
"8006";"1101001414";"1"
"8006";"1101001415";"1"
"8007";"1102002212";"1"
"8007";"1102002213";"1"
"8008";"1100281617";"1"
"8009";"1106001302";"1"
"8009";"1106001303";"1"
"8010";"1101001332";"1"
"8010";"1101001333";"1"
"8011";"1101001304";"1"
"8011";"1101001305";"1"
"8012";"1102002222";"1"
"8012";"1102002223";"1"
"8013";"1103002101";"1"
"8013";"1103002103";"1"
"8014";"1107001002";"1"
"8015";"1101001402";"1"
"8015";"1101001403";"1"
"8016";"1101001422";"1"
"8016";"1101001423";"1"
"8017";"1102002202";"1"
"8017";"1102002203";"1"
"8018";"1103002202";"1"
"8018";"1103002203";"1"
"8019";"1106001402";"1"
"8019";"1106001403";"1"
"8020";"1101001302";"1"
"8020";"1101001303";"1"
"8021";"1101001334";"1"
"8021";"1101001335";"1"
"8022";"1102002214";"1"
"8022";"1102002215";"1"
"8023";"1102002302";"1"
"8023";"1102002303";"1"
"8024";"1103002701";"1"
"8024";"1103002702";"1"
"8025";"1101001322";"1"
"8025";"1101001323";"1"
"8026";"1101001304";"1"
"8026";"1101001305";"1"
"8027";"1102002304";"1"
"8027";"1102002305";"1"
"8028";"1102002306";"1"
"8029";"1103002104";"1"
"8029";"1103002105";"1"
"8030";"1101001402";"1"
"8030";"1101001403";"1"
"8031";"1101001414";"1"
"8031";"1101001415";"1"
"8032";"1102002222";"1"
"8032";"1102002223";"1"
"8033";"1103002204";"1"
"8033";"1103002205";"1"
"8034";"1106001602";"1"
"8034";"1106001603";"1"
"8035";"1101001302";"1"
"8035";"1101001303";"1"
"8036";"1101001524";"1"
"8036";"1101001525";"1"
"8037";"1102002212";"1"
"8037";"1102002213";"1"
"8038";"1102002302";"1"
"8038";"1102002303";"1"
"8039";"1107001002";"1"
"8040";"1101001322";"1"
"8040";"1101001323";"1"
"8041";"1101001304";"1"
"8041";"1101001305";"1"
"8042";"1102002202";"1"
"8042";"1102002203";"1"
"8043";"1103002001";"1"
"8043";"1103002003";"1"
"8044";"1106001302";"1"
"8044";"1106001303";"1"
"8045";"1101001402";"1"
"8045";"1101001403";"1"
"8046";"1101001414";"1"
"8046";"1101001415";"1"
"8047";"1102002214";"1"
"8047";"1102002215";"1"
"8048";"1102002312";"1"
"8048";"1102002313";"1"
"8049";"1103002701";"1"
"8049";"1103002702";"1"
"8050";"1101001332";"1"
"8050";"1101001333";"1"
"8051";"1101001304";"1"
"8051";"1101001305";"1"
"8052";"1102002226";"1"
"8053";"1102002304";"1"
"8053";"1102002305";"1"
"8054";"1106001402";"1"
"8054";"1106001403";"1"
"8055";"1101001402";"1"
"8055";"1101001403";"1"
"8056";"1101001334";"1"
"8056";"1101001335";"1"
"8057";"1102002302";"1"
"8057";"1102002303";"1"
"8058";"1102002314";"1"
"8058";"1102002315";"1"
"8059";"1106001604";"1"
"8200";"1100308121";"1"
"8201";"1100297404";"1"
"8202";"1100315778";"1"
"8203";"1100281617";"1"
"8204";"1100285547";"1"
"8205";"1100308121";"1"
"8206";"1100297404";"1"
"8207";"1100297425";"1"
"8208";"1100315778";"1"
"8209";"1100281617";"1"
"8210";"1100285547";"1"
"8211";"1100308121";"1"
"8212";"1100297404";"1"
"8213";"1100315778";"1"
"8214";"1100297425";"1"
"8215";"1100281617";"1"
"8216";"1100308121";"1"
"8217";"1100297404";"1"
"8218";"1100281617";"1"
"8219";"1100285547";"1"
"8220";"1100315778";"1"
"8221";"1100297425";"1"
"8222";"1100308121";"1"
"8223";"1100297404";"1"
"8224";"1100315778";"1"
"8225";"1100281617";"1"
"8226";"1100285547";"1"
"8227";"1100308121";"1"
"8228";"1100297404";"1"
"8229";"1100297425";"1"
"8230";"1100315778";"1"
"8231";"1100281617";"1"
"8232";"1100308121";"1"
"8233";"1100297404";"1"
"8234";"1100297425";"1"
"8235";"1100281617";"1"
"8236";"1100285547";"1"
"8237";"1100315778";"1"
"8238";"1100308121";"1"
"8239";"1100297404";"1"
"8240";"1100315778";"1"
"8241";"1100281617";"1"
"8242";"1100285547";"1"
"8243";"1100297425";"1"
"8244";"1100308121";"1"
"8245";"1100297404";"1"
"8246";"1100315778";"1"
"8247";"1100281617";"1"
"8248";"1100285547";"1"
"8249";"1100297425";"1"
"8250";"1100308121";"1"
"8251";"1100297404";"1"
"8252";"1100315778";"1"
"8253";"1100281617";"1"
"8254";"1100285547";"1"
"8255";"1100297425";"1"
"8256";"1100308121";"1"
"8257";"1100297404";"1"
"8258";"1100315778";"1"
"8259";"1100281617";"1"
"8300";"1100308121";"1"
"8301";"1100297404";"1"
"8302";"1100315778";"1"
"8303";"1100281617";"1"
"8304";"1100285547";"1"
"8305";"1100308121";"1"
"8306";"1100297404";"1"
"8307";"1100297425";"1"
"8308";"1100315778";"1"
"8309";"1100281617";"1"
"8310";"1100285547";"1"
"8311";"1100308121";"1"
"8312";"1100297404";"1"
"8313";"1100315778";"1"
"8314";"1100297425";"1"
"8315";"1100281617";"1"
"8316";"1100308121";"1"
"8317";"1100297404";"1"
"8318";"1100281617";"1"
"8319";"1100285547";"1"
"8320";"1100315778";"1"
"8321";"1100297425";"1"
"8322";"1100308121";"1"
"8323";"1100297404";"1"
"8324";"1100315778";"1"
"8325";"1100281617";"1"
"8326";"1100285547";"1"
"8327";"1100308121";"1"
"8328";"1100297404";"1"
"8329";"1100297425";"1"
"8330";"1100315778";"1"
"8331";"1100281617";"1"
"8332";"1100308121";"1"
"8333";"1100297404";"1"
"8334";"1100297425";"1"
"8335";"1100281617";"1"
"8336";"1100285547";"1"
"8337";"1100315778";"1"
"8338";"1100308121";"1"
"8339";"1100297404";"1"
"8340";"1100315778";"1"
"8341";"1100281617";"1"
"8342";"1100285547";"1"
"8343";"1100297425";"1"
"8344";"1100308121";"1"
"8345";"1100297404";"1"
"8346";"1100315778";"1"
"8347";"1100281617";"1"
"8348";"1100285547";"1"
"8349";"1100297425";"1"
"8350";"1100308121";"1"
"8351";"1100297404";"1"
"8352";"1100315778";"1"
"8353";"1100281617";"1"
"8354";"1100285547";"1"
"8355";"1100297425";"1"
"8356";"1100308121";"1"
"8357";"1100297404";"1"
"8358";"1100315778";"1"
"8359";"1100281617";"1"
"8360";"1100308121";"1"
"8361";"1100297404";"1"
"8362";"1100315778";"1"
"8363";"1100281617";"1"
"8364";"1100285547";"1"
"8365";"1100308121";"1"
"8366";"1100297404";"1"
"8367";"1100297425";"1"
"8368";"1100315778";"1"
"8369";"1100281617";"1"
"8370";"1100285547";"1"
"8371";"1100308121";"1"
"8372";"1100297404";"1"
"8373";"1100315778";"1"
"8374";"1100297425";"1"
"8375";"1100281617";"1"
"8376";"1100308121";"1"
"8377";"1100297404";"1"
"8378";"1100281617";"1"
"8379";"1100285547";"1"
"8380";"1100315778";"1"
"8381";"1100297425";"1"
"8382";"1100308121";"1"
"8383";"1100297404";"1"
"8384";"1100315778";"1"
"8385";"1100281617";"1"
"8386";"1100285547";"1"
"8387";"1100308121";"1"
"8388";"1100297404";"1"
"8389";"1100297425";"1"
"8390";"1100315778";"1"
"8391";"1100281617";"1"
"8392";"1100308121";"1"
"8393";"1100297404";"1"
"8394";"1100297425";"1"
"8395";"1100281617";"1"
"8396";"1100285547";"1"
"8397";"1100315778";"1"
"8398";"1100308121";"1"
"8399";"1100297404";"1"
"8400";"1100315778";"1"
"8401";"1100281617";"1"
"8402";"1100285547";"1"
"8403";"1100297425";"1"
"8404";"1100308121";"1"
"8405";"1100297404";"1"
"8406";"1100315778";"1"
"8407";"1100281617";"1"
"8408";"1100308121";"1"
"8409";"1100297404";"1"
"8410";"1100315778";"1"
"8411";"1100281617";"1"
"8412";"1100285547";"1"
"8413";"1100297425";"1"
"8414";"1100308121";"1"
"8415";"1100297404";"1"
"8416";"1100315778";"1"
"8417";"1100281617";"1"
"8418";"1100285547";"1"
"8419";"1100297425";"1"
