"Praca_id";"Technik_id";"Druh_prace";"Trvanie_h"
"9220";"3003";"servisná práca";"1.00"
"9221";"3001";"servisná práca";"0.60"
"9222";"3002";"servisná práca";"0.80"
"9223";"3003";"servisná práca";"1.20"
"9224";"3001";"servisná práca";"1.40"
"9225";"3002";"servisná práca";"1.00"
"9226";"3003";"servisná práca";"0.70"
"9227";"3001";"servisná práca";"1.30"
"9228";"3002";"servisná práca";"1.20"
"9229";"3003";"servisná práca";"0.90"
"9230";"3001";"servisná práca";"1.10"
"9231";"3002";"servisná práca";"0.60"
"9232";"3003";"servisná práca";"1.00"
"9233";"3001";"servisná práca";"1.30"
"9234";"3002";"servisná práca";"1.50"
"9235";"3003";"servisná práca";"1.00"
"9236";"3001";"servisná práca";"0.70"
"9237";"3002";"servisná práca";"1.10"
"9238";"3003";"servisná práca";"1.20"
"9239";"3001";"servisná práca";"0.80"
"9240";"3002";"servisná práca";"1.10"
"9241";"3003";"servisná práca";"0.60"
"9242";"3001";"servisná práca";"1.00"
"9243";"3002";"servisná práca";"1.30"
"9244";"3003";"servisná práca";"1.40"
"9245";"3001";"servisná práca";"1.00"
"9246";"3002";"servisná práca";"0.70"
"9247";"3003";"servisná práca";"0.90"
"9248";"3001";"servisná práca";"1.20"
"9249";"3002";"servisná práca";"1.30"
"9250";"3003";"servisná práca";"1.10"
"9251";"3001";"servisná práca";"0.60"
"9252";"3002";"servisná práca";"1.00"
"9253";"3003";"servisná práca";"1.40"
"9254";"3001";"servisná práca";"1.50"
"9255";"3002";"servisná práca";"1.00"
"9256";"3003";"servisná práca";"0.80"
"9257";"3001";"servisná práca";"1.20"
"9258";"3002";"servisná práca";"1.30"
"9259";"3003";"servisná práca";"1.10"
"9300";"3001";"servisná práca";"1.00"
"9301";"3002";"servisná práca";"0.70"
"9302";"3003";"servisná práca";"1.20"
"9303";"3001";"servisná práca";"1.10"
"9304";"3002";"servisná práca";"1.30"
"9305";"3003";"servisná práca";"0.80"
"9306";"3001";"servisná práca";"0.60"
"9307";"3002";"servisná práca";"1.00"
"9308";"3003";"servisná práca";"1.10"
"9309";"3001";"servisná práca";"1.40"
"9310";"3002";"servisná práca";"1.00"
"9311";"3003";"servisná práca";"0.60"
"9312";"3001";"servisná práca";"1.20"
"9313";"3002";"servisná práca";"1.30"
"9314";"3003";"servisná práca";"1.50"
"9315";"3001";"servisná práca";"1.00"
"9316";"3002";"servisná práca";"1.20"
"9317";"3003";"servisná práca";"0.90"
"9318";"3001";"servisná práca";"1.30"
"9319";"3002";"servisná práca";"1.40"
"9320";"3003";"servisná práca";"1.00"
"9321";"3001";"servisná práca";"0.60"
"9322";"3002";"servisná práca";"0.80"
"9323";"3003";"servisná práca";"1.20"
"9324";"3001";"servisná práca";"1.40"
"9325";"3002";"servisná práca";"1.00"
"9326";"3003";"servisná práca";"0.70"
"9327";"3001";"servisná práca";"1.30"
"9328";"3002";"servisná práca";"1.20"
"9329";"3003";"servisná práca";"0.90"
"9330";"3001";"servisná práca";"1.10"
"9331";"3002";"servisná práca";"0.60"
"9332";"3003";"servisná práca";"1.00"
"9333";"3001";"servisná práca";"1.30"
"9334";"3002";"servisná práca";"1.50"
"9335";"3003";"servisná práca";"1.00"
"9336";"3001";"servisná práca";"0.70"
"9337";"3002";"servisná práca";"1.10"
"9338";"3003";"servisná práca";"1.20"
"9339";"3001";"servisná práca";"0.80"
"9340";"3002";"servisná práca";"1.10"
"9341";"3003";"servisná práca";"0.60"
"9342";"3001";"servisná práca";"1.00"
"9343";"3002";"servisná práca";"1.30"
"9344";"3003";"servisná práca";"1.40"
"9345";"3001";"servisná práca";"1.00"
"9346";"3002";"servisná práca";"0.70"
"9347";"3003";"servisná práca";"0.90"
"9348";"3001";"servisná práca";"1.20"
"9349";"3002";"servisná práca";"1.30"
"9350";"3003";"servisná práca";"1.10"
"9351";"3001";"servisná práca";"0.60"
"9352";"3002";"servisná práca";"1.00"
"9353";"3003";"servisná práca";"1.40"
"9354";"3001";"servisná práca";"1.50"
"9355";"3002";"servisná práca";"1.00"
"9356";"3003";"servisná práca";"0.80"
"9357";"3001";"servisná práca";"1.20"
"9358";"3002";"servisná práca";"1.30"
"9359";"3003";"servisná práca";"1.10"
"9360";"3001";"servisná práca";"1.00"
"9361";"3002";"servisná práca";"0.70"
"9362";"3003";"servisná práca";"1.20"
"9363";"3001";"servisná práca";"1.10"
"9364";"3002";"servisná práca";"1.30"
"9365";"3003";"servisná práca";"0.80"
"9366";"3001";"servisná práca";"0.60"
"9367";"3002";"servisná práca";"1.00"
"9368";"3003";"servisná práca";"1.10"
"9369";"3001";"servisná práca";"1.40"
"9370";"3002";"servisná práca";"1.00"
"9371";"3003";"servisná práca";"0.60"
"9372";"3001";"servisná práca";"1.20"
"9373";"3002";"servisná práca";"1.30"
"9374";"3003";"servisná práca";"1.50"
"9375";"3001";"servisná práca";"1.00"
"9376";"3002";"servisná práca";"1.20"
"9377";"3003";"servisná práca";"0.90"
"9378";"3001";"servisná práca";"1.30"
"9379";"3002";"servisná práca";"1.40"
"9380";"3003";"servisná práca";"1.00"
"9381";"3001";"servisná práca";"0.60"
"9382";"3002";"servisná práca";"0.80"
"9383";"3003";"servisná práca";"1.20"
"9384";"3001";"servisná práca";"1.40"
"9385";"3002";"servisná práca";"1.00"
"9386";"3003";"servisná práca";"0.70"
"9387";"3001";"servisná práca";"1.30"
"9388";"3002";"servisná práca";"1.20"
"9389";"3003";"servisná práca";"0.90"
"9390";"3001";"servisná práca";"1.10"
"9391";"3002";"servisná práca";"0.60"
"9392";"3003";"servisná práca";"1.00"
"9393";"3001";"servisná práca";"1.30"
"9394";"3002";"servisná práca";"1.50"
"9395";"3003";"servisná práca";"1.00"
"9396";"3001";"servisná práca";"0.70"
"9397";"3002";"servisná práca";"1.10"
"9398";"3003";"servisná práca";"1.20"
"9399";"3001";"servisná práca";"0.80"
"9400";"3002";"servisná práca";"1.10"
"9401";"3003";"servisná práca";"0.60"
"9402";"3001";"servisná práca";"1.00"
"9403";"3002";"servisná práca";"1.30"
"9404";"3003";"servisná práca";"1.40"
"9405";"3001";"servisná práca";"1.00"
"9406";"3002";"servisná práca";"0.70"
"9407";"3003";"servisná práca";"0.90"
"9408";"3001";"servisná práca";"1.20"
"9409";"3002";"servisná práca";"1.30"
"9410";"3003";"servisná práca";"1.10"
"9411";"3001";"servisná práca";"0.60"
"9412";"3002";"servisná práca";"1.00"
"9413";"3003";"servisná práca";"1.40"
"9414";"3001";"servisná práca";"1.50"
"9415";"3002";"servisná práca";"1.00"
"9416";"3003";"servisná práca";"0.80"
"9417";"3001";"servisná práca";"1.20"
"9418";"3002";"servisná práca";"1.30"
"9419";"3003";"servisná práca";"1.10"
